label,message,message_length
0,take care sleep wellyou need learn change lifeyou need get convinced thati wait conversations usget convinced timeyour family many sensesrespect overemphasiseor u role life,172
0,lemme know youre,16
0,wat r u busy wif work,21
1,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16,122
0,im fine hope good take care,27
0,normally use drink water daily,30
0,bluray player,13
1,valentines day special win £1000 quiz take partner trip lifetime send go 83600 150pmsg rcvd custcare08718720201,111
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,123
0,send resume,11
0,idk keep saying youre since moved keep butting heads freedom vs responsibility im tired much shit deal im barely keeping together gets added,140
1,get free mobile video player free movie collect text go 89105 free extra films ordered ts cs apply 18 yrs,105
0,wot student discount u get books,32
0,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore,82
0,ask keep one maybe thats didnt get messages sent glo,52
0,nottel software name,20
0,havent,6
0,thats shame maybe cld meet hrs tomo,35
0,way rencontre meet mountains dont,33
0,planning come chennai,21
0,probably want pick,18
0,message truro hospital ext phone phone side,43
0,come n pick ü come immediately aft ur lesson,44
0,still grinder,13
0,aiyo u poor thing u dun wan 2 eat u bathe already,49
0,sorry ill call later,20
0,okay soon best,14
0,oh ok wats ur email,19
0,talk atleast day otherwise miss best friend world shakespeare shesil ltgt,73
0,ya ok dinner,12
0,lol know theyre dramatic schools already closed tomorrow apparently cant drive inch snow supposed get,101
1,someone contacted dating service entered phone becausethey fancy find call landline 09058098002 pobox1 w14rg 150p,113
0,hey babe far 2 spunout 2 spk da mo dead 2 da wrld sleeping da sofa day cool nytho tx 4 fonin hon call 2mwen im bk frmcloud 9 j x,128
1,urgent please call 09061743810 landline abta complimentary 4 tenerife holiday 5000 cash await collection sae tcs box 326 cw25wx 150 ppm,135
0,channel,7
0,brother genius,14
0,wait till end march el nino gets oh,35
0,know hook means right,21
0,know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop,194
0,good morning princess,21
0,whatever juliana whatever want,30
0,dont know jabo abi,18
0,aight rush ill ask jay,22
1,ringtone club gr8 new polys direct mobile every week,52
0,whats feathery bowa something guys dont know,44
0,1 cbe 2 chennai,15
1,free 1st week no1 nokia tone 4 ur mob every week txt nokia 8007 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16,136
0,hey project started aha da,26
0,yup,3
1,money r lucky winner 2 claim prize text money 2 88600 £1million give away ppt150x3normal text rate box403 w1t1jy,112
0,come mu sorting narcotics situation,35
0,hi darlin cantdo anythingtomorrow myparents aretaking outfor meal u free katexxx,80
1,u secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094599,87
0,whatever im pretty pissed,25
0,career tel added u contact indyarockscom send free sms remove phonebook sms ltgt,80
0,lol gonna last month cashed left ltgt case collecting week cause announced blog,79
0,lol right diet everyday cheat anyway im meant fatty,51
0,ooooooh forgot tell u get yoville phone,39
0,k youre sure dont consent forms v,33
0,im good registered vote,23
0,future planned tomorrow result today best present enjoy future,62
0,time month mid time,19
0,yeah jays sort fucking retard,29
0,dog must always wait till end day word run time cell already,60
0,dont much image class,21
0,knowhe watching film computer,29
0,going sao mu today done 12,26
0,much buzy,9
0,sweet may may go 4u meet carlos gauge pattys interest,53
0,time coming,11
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed £1000 cash £5000 prize,109
0,ya cant display internal subs gotta extract,43
0,aight plan come later tonight,29
1,todays offer claim ur £150 worth discount vouchers text yes 85023 savamob member offers mobile cs 08717898035 £300 sub 16 unsub reply x,135
0,hi darlin kate u doin somethin tonight im going pub called swan something parents one drink phone u,99
0,ugh hopefully asus ppl dont randomly reformat,45
0,call say coming today ok tell fool like ok,42
0,effect irritation ignore,24
0,thats cool gentleman treat dignity respect,42
0,sorry man stash ran dry last night cant pick sunday,51
0,howz persons story,18
0,hows husband,12
0,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem,80
0,performance award calculated every two monthnot current one month period,72
0,sign maturity start saying big things actually start understanding small things nice evening bslvyl,99
0,sent lanre fakeyes eckankar details mail box,44
0,gal n boy walking park galcan hold ur hand boyy u think would run away galno jst wana c feels walking heaven princegn,117
0,u going ikea str aft dat,24
1,private 2003 account statement shows 800 unredeemed points call 08718738002 identifier code 48922 expires 211104,112
0,wanna gym,9
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066,104
0,ok lor im town lei,18
0,ujhhhhhhh computer shipped address sandiago parantella lane wtf poop,68
0,love holiday monday feeling even go dentists hour,49
0,ive reached home n bathe liao u call,36
0,know taj mahal symbol love lesser known facts 1 mumtaz shahjahans 4th wife 7 wifes 2 shahjahan killed mumtazs husband marry 3 mumtaz died ltgt th delivery 4 married mumtazs sister question arises hell love great hari,216
0,probably come everybodys done around ltgt right,47
0,mum ask ü buy food home,23
1,freemsgfeelin kinda lnly hope u like 2 keep company jst got cam moby wanna c pictxt reply date 82242 msg150p 2rcv hlp 08712317606 stop 82242,140
0,uncle timi help clearing cars,29
0,problem renewal ill right away dont know details,48
0,ok ill right later,18
0,sent jd customer service cum accounts executive ur mail id details contact us,77
0,hi jon pete ive bin 2 spain recently hav sum dinero left bill said u ur rents mayb interested hav 12000pes around £48 tb james,127
0,jus finished avatar nigro,25
0,maybe find something else instead,33
0,know lab goggles went,21
0,watching telugu moviewat abt u,30
0,yeah think usual guys still passed last night get ahold anybody let know ill throw,82
1,well done england get official poly ringtone colour flag yer mobile text tone flag 84199 optout txt eng stop box39822 w111wx £150,129
0,actually first time went bed long spoke woke 7 night,52
0,hi babe u r likely bed im sorry tonight really wanna see u tomorrow call 9 love xxx,83
0,im movie collect car oredi,26
0,apps class varaya elaya,23
1,heard u4 call night knickers make beg like u last time 01223585236 xx luv nikiyu4net,84
0,shit babe thasa bit messed upyeh shudvetold u urgran knowneway illspeak 2 u2moro wen im asleep,94
0,é 140 ardé rest ard 180 leastwhich é price 4 é 2 bedrm 900,58
1,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,120
0,oops ltgt,9
1,sparkling shopping breaks 45 per person call 0121 2025050 visit wwwshortbreaksorguk,83
0,cant pick phone right pls send message,38
0,weird know one point,20
0,huh cant thk oredi many pages,29
0,ltgt mca conform,16
1,u 447801259231 secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094597,100
0,arent next ltgt hours imma flip shit,36
0,yo around got car back,22
0,oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,97
1,gr8 poly tones 4 mobs direct 2u rply poly title 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p,141
0,dont go tell friend youre sure want live smokes much spend hours begging come smoke,83
0,ya nowonion roast,17
0,excellent thought misundrstud frnd knw u hate bt day wen ull knw truth ull hate urself gn,89
1,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod £250 cash every wk txt vpod 81303 tscs wwwtextpodnet custcare 08712405020,128
0,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,98
0,got ur mail dileepthank muchand look forward lots supportvery less contacts hereremember one venugopal mentionedtomorrow latei shall try come till theregoodnight dear,166
0,whatsup dont u want sleep,25
0,guy bitching acted like id interested buying something else next week gave us free,82
0,r outside already,17
0,hey gorgeous man work mobile number good one babe squishy mwahs,63
1,dear 0776xxxxxxx uve invited xchat final attempt contact u txt chat 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18yrs,120
0,staff placement training amrita college,39
0,late need go n get da laptop,28
0,talking thats de wont,21
0,still working time also tried adding zeros savings checking ltgt,64
0,thts wat wright brother fly,27
0,sorry da thangam sorry held prasad,34
0,hey chief give bell get need talk royal visit 1st june,54
0,dear friends sorry late information today birthday loving arpraveesh details log face book see number ltgt dont miss delicious treat,132
0,quite late lar ard 12 anyway wun b drivin,41
1,fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x,93
0,see finish loads loans pay,26
0,ello babe u ok,14
0,im diet ate 1 many slices pizza yesterday ugh im always diet,60
0,yes fine love safe,18
0,sure night menu know noon menu,30
0,fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx ps dads fone credit,105
0,… r stayin extra week back next wed rugby weekend hi c u soon,61
1,80488 500 free text messages valid 31 december 2005,51
0,2marrow wed ltgt 2 aha,22
0,funeral home audrey dad,23
0,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone 4get name person bt girlfrnd g n g h,196
0,spoil bed well,14
0,ok chikku 1 favourite song,26
0,yep like pink furniture tho,27
0,need come home give good lovin,30
0,hui xin da lib,14
0,many licks take get center tootsie pop,38
1,08714712388 10am7pm cost 10p,28
0,sent like,9
0,cant pick phone right pls send message,38
1,8007 25p 4 alfie moons children need song ur mob tell ur m8s txt tone charity 8007 nokias poly charity polys zed 08701417012 profit 2 charity,141
0,hmm ok ill stay like hour cos eye really sore,45
0,k k sms chat,12
0,sounds like could lot time spent chastity device boy grins take beatings like good dog going lounge nice long bath,114
0,let ur heart ur compass ur mind ur map ur soul ur guide u never loose worldgnun sent via way2smscom,99
1,reply win £100 weekly 2006 fifa world cup held send stop 87239 end service,74
0,hey ive booked pilates yoga lesson already haha,47
0,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,74
0,cab availablethey pick drop door steps,38
0,u dun say early hor u c already say,35
0,getting back time soon,22
1,summers finally fancy chat flirt sexy singles yr area get matched reply summer free 2 join optout txt stop help08714742804,122
0,please protect ethreats sib never asks sensitive information like passwordsatmsms pin thru email never share password anybody,125
1,get ur 1st ringtone free reply msg tone gr8 top 20 tones phone every week £150 per wk 2 opt send stop 08452810071 16,116
0,add dont really care cant least get dude fuck hey money want,60
1,dear voucher holder claim weeks offer pc please go httpwwwetlpcoukreward tscs apply,83
0,dont give monkeys wot think certainly dont mind friend mineall dont sleep wiv wud annoyin,89
0,hey reply pa,12
0,willing go apps class,21
0,aight ill grab something eat text youre back mu,47
1,receiving weeks triple echo ringtone shortly enjoy,50
0,problem baby good time talk called left message,47
1,win year supply cds 4 store ur choice worth £500 enter £100 weekly draw txt music 87066 tscs wwwldewcomsubs161win150ppmx3,121
0,got lots hair dresser fr china,30
1,xmas iscoming ur awarded either £500 cd gift vouchers free entry 2 r £100 weekly draw txt music 87066 tnc wwwldewcom1win150ppmx3age16subscription,145
0,youre car hour half im going apeshit,36
1,winner valued network customer selected receivea £900 prize reward claim call 09061701461 claim code kl341 valid 12 hours,121
0,nah dub je still buff,21
0,havent lei next mon,19
0,darling sister whens school resuming minimum wait period reapply take care,74
0,start sending blackberry torch nigeria find buyer melike 4a month tell dad buy bb anyone oh,91
0,captain room,12
1,want explicit sex 30 secs ring 02073162414 costs 20pmin,55
0,put party 7 days week study lightly think need draw custom checkboxes know hardcore,83
0,dont wait til least wednesday see get,37
0,staying town,12
1,2004 account 07xxxxxxxxx shows 786 unredeemed points claim call 08719181259 identifier code xxxxx expires 260305,112
0,dad gonna call gets work ask crazy questions,44
0,dont message offer,18
0,u find time bus coz need sort stuff,35
0,tell drug dealers getting impatient,35
0,belive come home,16
0,shall fine avalarr hollalater,29
0,missing toopray inshah allah,28
0,word checkmate chess comes persian phrase shah maat means king dead goodmorning good day,88
0,sent jd customer service cum accounts executive ur mail id details contact us,77
0,hi wkend ok journey terrible wk good huge back log marking,58
0,work week,9
0,2 oz guy kinda flaky one friend interested picking ltgt worth tonight possible,78
0,try get lost fact tee hee,25
0,anyway holla whenever youre around need excuse go creep people sarasota,71
1,download many ringtones u like restrictions 1000s 2 choose u even send 2 yr buddys txt sir 80082 £3,99
0,come tomorrow di,16
0,babes hope ok shit nights sleep fell asleep 5im knackered im dreading work tonight thou upto tonight x,104
0,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,80
1,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd8 08000839402 call 2optout,132
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,74
0,took tablets reaction morning,29
0,haha mayb ure rite u know well da feeling liked someone gd lor u faster go find one gals group attached liao,108
0,yo yo yo byatch whassup,23
0,ill little closer like bus stop street,38
1,500 new mobiles 2004 must go txt nokia 89545 collect todayfrom £1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction,119
0,lol boo hoping laugh,20
0,one week leave put know time,28
1,private 2003 account statement shows 800 unredeemed points call 08715203694 identifier code 40533 expires 311004,112
1,great new offer double mins double txt best orange tariffs get latest camera phones 4 free call mobileupd8 free 08000839402 2stoptxt tcs,136
0,pure hearted person wonderful smile makes even hisher enemies feel guilty enemy catch world smile goodmorning amp smiley sunday,127
0,hi kate lovely see tonight ill phone tomorrow got sing guy gave card xxx,72
1,urgent mobile number awarded £2000 prize guaranteed call 09061790121 land line claim 3030 valid 12hrs 150ppm,108
0,sister going earn da,20
0,goodmorning today late ltdecimalgt min,38
0,nah wednesday bring mini cheetos bag,36
0,nw came hme da,14
1,lookatme thanks purchase video clip lookatme youve charged 35p think better send video mmsto 32323,98
0,im class holla later,20
0,yeah wheres class,17
0,nope watching tv home going v bored,35
0,say fantastic chance anything need bigger life lift losing 2 live think would first person 2 die n v q,102
0,think disturbing da,19
0,somebody set website play hold em using eve online spacebucks,61
0,thanks chikku gud nyt,21
0,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,100
1,uve selected stay 1 250 top british hotels nothing holiday valued £350 dial 08712300220 claim national rate call bx526 sw73ss,125
0,weekend fine excuse much decorating,35
0,sorry im getting feel really bad totally rejected kinda thing,61
0,xy trying smth u eat already havent,35
0,u guys never invite anywhere,28
0,also remember beads dont come ever,34
0,let know need anything else salad desert something many beers shall get,71
0,come alivebetter correct good looking figure,44
0,im freezing craving ice fml,27
0,wifehow knew time murder exactly,32
1,ur chance win £250 cash every wk txt play 83370 tscs wwwmusictrivianet custcare 08715705022 1x150pwk,100
0,todaysundaysunday holidayso work,32
0,fine remember,13
0,got lousy sleep kept waking every 2 hours see cat wanted come worry cold,72
0,enjoy urself tmr,16
0,meeting ü rite ill go home lor ü dun feel like comin ok,55
0,aight see bit,13
1,urgent 4 costa del sol holiday £5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost£150pm max10mins,132
0,alright ill head minutes text meet,34
1,discount code rp176781 stop messages reply stop wwwregalportfoliocouk customer services 08717205546,99
1,natalja 25f inviting friend reply yes440 no440 see wwwsmsacunat27081980 stop send stop frnd 62468,97
0,great princess thinking,23
0,nope im going home go pump petrol lor like going 2 rain soon,60
1,phony £350 award todays voda numbers ending xxxx selected receive £350 award match please call 08712300220 quoting claim code 3100 standard rates app,149
0,give something drink takes doesnt vomit temp might drop unmits however let know,79
1,u r subscribed 2 textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 2 84128custcare 08712405020,149
0,ummmawill call check inour life begin qatar pls pray hard,57
1,free entry £250 weekly comp send word win 80086 18 tc wwwtxttowincouk,69
0,yeah basically time next week get away mom amp get 3,52
0,wot u 2 j,9
0,happy new year dear brother really miss got number decided send text wishing happiness abiola,93
0,helloooo wake sweet morning welcomes enjoy day full joy gud mrng,64
0,meet corporation st outside gap … see mind working,50
0,sir need axis bank account bank address,39
1,1 new message please call 08715205273,37
1,ever notice youre driving anyone going slower idiot everyone driving faster maniac,82
1,refused loan secured unsecured cant get credit call free 0800 195 6669 text back help,85
0,hey theres veggie pizza,23
0,finished lunch already u wake already,37
0,ive called hoping l8r malaria know miss guys miss bani big pls give love especially great day,93
1,urgent mobile 07808726822 awarded £2000 bonus caller prize 020903 2nd attempt contact call 08718729758 box95qu,110
0,thursday night yeah sure thing well work,40
1,cds 4u congratulations ur awarded £500 cd gift vouchers £125 gift guaranteed freeentry 2 £100 wkly draw xt music 87066 tncs wwwldewcom1win150ppmx3age16,151
0,cool ltgt inches long hope like big,35
1,dear voucher holder 2 claim weeks offer pc go httpwwwetlpcoukexpressoffer tscs apply2 stop texts txt stop 80062,111
1,chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call,116
1,tried contact offer new video phone 750 anytime network mins half price rental camcorder call 08000930705 reply delivery wed,124
0,fine imma get drink somethin want come find,43
0,many things antibiotic used chest abdomen gynae infections even bone infections,79
0,hope youre much fun without see u tomorrow love jess x,55
0,project w frens lor,19
0,happy saying,12
0,im sure still available though,30
0,got another job one hospital data analysis something starts monday sure thesis got finished,91
0,think far find check google maps place dorm,43
1,want funk ur fone weekly new tone reply tones2u 2 text wwwringtonescouk original n best tones 3gbp network operator rates apply,127
1,sale arsenal dartboard good condition doubles trebles,53
0,dont thnk wrong calling us,26
0,,0
0,2mro coming gym machan goodnight,32
0,call meet,9
1,want latest video handset 750 anytime network mins half price line rental reply call 08000930705 delivery tomorrow,114
0,u coming funeral home,21
0,babe goes day sip cappuccino think love send kiss across sea,60
0,meant calculation ltgt units ltgt school really expensive started practicing accent important decided 4years dental school youll nmde exam,138
0,wish great semester,19
1,want new video handset 750 anytime network mins half price line rental camcorder reply call 08000930705 delivery tomorrow,121
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,74
0,talk g x,8
0,tuition 330 hm go 1120 1205 one mind,36
1,u subscribed best mobile content service uk £3 per ten days send stop 83435 helpline 08706091795,96
0,u sure u cant take sick time,28
0,aathiwhere dear,15
0,sorry took long omw,19
0,alrite jod hows revision goin keris bin doin smidgin n e way u wanna cum collegexx,82
0,course maths one day one chapter one month finish,49
0,better bb wont use wife doctor,30
0,hey glad u r better hear u treated urself digi cam good r 9pm fab new year c u coupla wks,89
0,u havent lost ill always b 4ui didnt intend 2 hurt u never knew u felt iwasmarinethats itried2tell urmomi careabout u,120
0,try something dear read something exams,39
0,sfine anytime best,18
0,love isnt decision feeling could decide love life would much simpler less magical,81
0,ding ya break fassyole blacko londn,35
1,want new nokia 3510i colour phone deliveredtomorrow 300 free minutes mobile 100 free texts free camcorder reply call 08000930705,128
0,double eviction week spiral michael good riddance,49
0,one small prestige problem,26
0,ok,2
1,claire havin borin time alone u wanna cum 2nite chat 09099725823 hope 2 c u luv claire xx calls£1minmoremobsemspobox45po139wa,125
0,10 min later k,14
0,ive sent send,13
1,guess ithis first time created web page wwwasjesuscom read wrote im waiting opinions want friend 11,99
0,youre sure im trying make xavier smoke dont want smoke told smoke much,70
0,thanks da thangam feel happy dear also miss da,46
0,happy valentines day know early hundreds handsomes beauties wish thought finish aunties uncles 1st,98
0,thats good need drugs,21
0,hey come online use msn,23
1,mobile 10 mths update latest cameravideo phones free keep ur number get extra free minstexts text yes call,106
0,fri ah okie lorgoin 4 drivin den go shoppin tt,46
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng,87
0,love brother time talk english grins say hey muhommad penny says hello across sea,81
0,oh kay sat right,16
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,102
0,im back lemme know youre ready,30
0,thanx lot 4 ur help,19
0,cold dont sad dear,18
0,know u mean king havin credit im goin2bed night night sweet only1more sleep,75
0,good trip watch remember get back must decide easter,52
0,haha dont angry take practice real thing,40
0,still coming tonight,20
0,wonder got online love gone net cafe get phone recharged friends net think boytoy,81
0,seems unnecessarily hostile,27
0,per request maangalyam alaipayuthe set callertune callers press 9 copy friends callertune,89
0,miss vday parachute double coins u must know well,49
0,awesome deal gate charles told last night uh yeah,49
0,yup need ill jus wait 4 e rain 2 stop,37
0,take post come must 1000s texts happy reading one wiv hello caroline end favourite bless,88
0,rushing im working im school rush go hungry,43
0,sweetheart hope kind day one loads reasons smile biola,54
0,well good morning mr hows london treatin ya treacle,51
0,u awake snow,12
0,u call,6
1,want new nokia 3510i colour phone delivered tomorrow 200 free minutes mobile 100 free text free camcorder reply call 8000930705,127
0,could kiss feel next,20
0,youre right think,17
0,pls accept one day begging change number,40
0,call ok said call,17
0,back brum thanks putting us keeping us happy see soon,53
0,wonder youll get text,21
0,message great doctor india 1 drink appy fizz contains cancer causing age,72
0,wot u 2 thout u gonna call txt bak luv k,40
0,boooo always work quit,22
0,hello madam,11
0,opening mca,11
0,oops thk dun haf enuff go check tell ü,38
0,im sorry bout last nite wasnt ur fault spouse pmt sumthin u 4give think u shldxxxx,83
0,happy new year u ur familymay new year bring happiness stability tranquility ur vibrant colourful life,102
